ID,Target
156,Video-Play
157,Video-Play
158,FilmTele-Play
159,Video-Play
160,Radio-Listen
161,Music-Play
162,HomeAppliance-Control
163,Audio-Play
164,HomeAppliance-Control
165,Music-Play
166,Music-Play
167,Music-Play
168,Travel-Query
169,Calendar-Query
170,Alarm-Update
171,HomeAppliance-Control
172,FilmTele-Play
173,Music-Play
174,Alarm-Update
175,Weather-Query
176,Calendar-Query
177,HomeAppliance-Control
178,Music-Play
179,FilmTele-Play
180,FilmTele-Play
181,Alarm-Update
182,Alarm-Update
183,HomeAppliance-Control
184,Audio-Play
185,HomeAppliance-Control
186,Music-Play
187,Audio-Play
188,Radio-Listen
189,Calendar-Query
190,FilmTele-Play
191,Video-Play
192,Weather-Query
193,TVProgram-Play
194,Other
195,HomeAppliance-Control
196,Audio-Play
197,Radio-Listen
198,HomeAppliance-Control
199,Radio-Listen
200,TVProgram-Play
201,FilmTele-Play
202,Radio-Listen
203,Other
204,Travel-Query
205,Alarm-Update
206,Music-Play
207,Radio-Listen
208,Music-Play
209,Calendar-Query
210,Alarm-Update
211,Radio-Listen
212,Audio-Play
213,HomeAppliance-Control
214,Radio-Listen
215,Travel-Query
216,HomeAppliance-Control
217,Music-Play
218,Alarm-Update
219,FilmTele-Play
220,Travel-Query
221,Travel-Query
222,FilmTele-Play
223,Music-Play
224,Calendar-Query
225,Video-Play
226,Music-Play
227,Radio-Listen
228,Radio-Listen
229,Video-Play
230,Video-Play
231,Travel-Query
232,Travel-Query
233,Radio-Listen
234,Radio-Listen
235,FilmTele-Play
236,Audio-Play
237,Radio-Listen
238,Alarm-Update
239,Radio-Listen
240,Alarm-Update
241,Music-Play
242,Weather-Query
243,Video-Play
244,FilmTele-Play
245,FilmTele-Play
246,Music-Play
247,Music-Play
248,TVProgram-Play
249,Audio-Play
250,FilmTele-Play
251,Alarm-Update
252,Alarm-Update
253,Travel-Query
254,Radio-Listen
255,Music-Play
256,TVProgram-Play
257,Alarm-Update
258,Alarm-Update
259,Radio-Listen
260,Travel-Query
261,FilmTele-Play
262,Video-Play
263,Music-Play
264,Other
265,Alarm-Update
266,FilmTele-Play
267,Audio-Play
268,HomeAppliance-Control
269,Weather-Query
270,Alarm-Update
271,Video-Play
272,Music-Play
273,Travel-Query
274,Audio-Play
275,HomeAppliance-Control
276,HomeAppliance-Control
277,Radio-Listen
278,Alarm-Update
279,Alarm-Update
280,Music-Play
281,Music-Play
282,Travel-Query
283,Music-Play
284,Music-Play
285,FilmTele-Play
286,Music-Play
287,Music-Play
288,Travel-Query
289,Weather-Query
290,Music-Play
291,Alarm-Update
292,Music-Play
293,Video-Play
294,Music-Play
295,TVProgram-Play
296,Video-Play
297,Video-Play
298,Radio-Listen
299,HomeAppliance-Control
300,Radio-Listen
301,Weather-Query
302,Video-Play
303,FilmTele-Play
304,Alarm-Update
305,Video-Play
306,Travel-Query
307,HomeAppliance-Control
308,Radio-Listen
309,Video-Play
310,Radio-Listen
311,Weather-Query
312,Music-Play
313,Video-Play
314,Music-Play
315,Weather-Query
316,FilmTele-Play
317,Calendar-Query
318,Travel-Query
319,TVProgram-Play
320,Audio-Play
321,TVProgram-Play
322,Calendar-Query
323,Audio-Play
324,Radio-Listen
325,Music-Play
326,HomeAppliance-Control
327,FilmTele-Play
328,HomeAppliance-Control
329,Music-Play
330,Radio-Listen
331,Video-Play
332,HomeAppliance-Control
333,Audio-Play
334,HomeAppliance-Control
335,Music-Play
336,HomeAppliance-Control
337,Audio-Play
338,Audio-Play
339,Audio-Play
340,Radio-Listen
341,Video-Play
342,Music-Play
343,Radio-Listen
344,Calendar-Query
345,HomeAppliance-Control
346,Music-Play
347,HomeAppliance-Control
348,Calendar-Query
349,Travel-Query
350,HomeAppliance-Control
351,Music-Play
352,Radio-Listen
353,Audio-Play
354,Alarm-Update
355,Music-Play
356,HomeAppliance-Control
357,Video-Play
358,Music-Play
359,Calendar-Query
360,Radio-Listen
361,Other
362,Travel-Query
363,Radio-Listen
364,Video-Play
365,Music-Play
366,FilmTele-Play
367,Weather-Query
368,Music-Play
369,Audio-Play
370,Weather-Query
371,Radio-Listen
372,FilmTele-Play
373,Music-Play
374,HomeAppliance-Control
375,Video-Play
376,HomeAppliance-Control
377,Music-Play
378,TVProgram-Play
379,Weather-Query
380,Travel-Query
381,Radio-Listen
382,Travel-Query
383,TVProgram-Play
384,Music-Play
385,Radio-Listen
386,Weather-Query
387,FilmTele-Play
388,Radio-Listen
389,Audio-Play
390,Audio-Play
391,Travel-Query
392,Audio-Play
393,Alarm-Update
394,TVProgram-Play
395,Video-Play
396,FilmTele-Play
397,Calendar-Query
398,Music-Play
399,Music-Play
400,Audio-Play
401,HomeAppliance-Control
402,Music-Play
403,Alarm-Update
404,Radio-Listen
405,Video-Play
406,FilmTele-Play
407,TVProgram-Play
408,Calendar-Query
409,Travel-Query
410,Music-Play
411,Video-Play
412,Video-Play
413,Calendar-Query
414,Radio-Listen
415,Alarm-Update
416,Alarm-Update
417,Music-Play
418,Video-Play
419,Audio-Play
420,Audio-Play
421,Alarm-Update
422,Calendar-Query
423,Video-Play
424,Radio-Listen
425,FilmTele-Play
426,Radio-Listen
427,Music-Play
428,Music-Play
429,TVProgram-Play
430,Alarm-Update
431,FilmTele-Play
432,Travel-Query
433,HomeAppliance-Control
434,Music-Play
435,Music-Play
436,Calendar-Query
437,Weather-Query
438,Alarm-Update
439,Calendar-Query
440,Music-Play
441,FilmTele-Play
442,Other
443,Alarm-Update
444,Weather-Query
445,FilmTele-Play
446,Alarm-Update
447,HomeAppliance-Control
448,Audio-Play
449,Music-Play
450,Music-Play
451,Other
452,Radio-Listen
453,Video-Play
454,Music-Play
455,TVProgram-Play
456,Weather-Query
457,Radio-Listen
458,FilmTele-Play
459,Travel-Query
460,Travel-Query
461,Music-Play
462,Weather-Query
463,Music-Play
464,Weather-Query
465,Video-Play
466,Music-Play
467,Video-Play
468,Music-Play
469,Travel-Query
470,Music-Play
471,Calendar-Query
472,Video-Play
473,Music-Play
474,Alarm-Update
475,Music-Play
476,Music-Play
477,Video-Play
478,FilmTele-Play
479,Music-Play
480,Calendar-Query
481,Music-Play
482,Music-Play
483,HomeAppliance-Control
484,HomeAppliance-Control
485,Video-Play
486,FilmTele-Play
487,FilmTele-Play
488,Radio-Listen
489,Music-Play
490,HomeAppliance-Control
491,Music-Play
492,Alarm-Update
493,Calendar-Query
494,Video-Play
495,Audio-Play
496,Travel-Query
497,Audio-Play
498,Music-Play
499,Video-Play
500,Radio-Listen
501,Weather-Query
502,FilmTele-Play
503,FilmTele-Play
504,Music-Play
505,Music-Play
506,Music-Play
507,TVProgram-Play
508,Music-Play
509,Music-Play
510,Travel-Query
511,Music-Play
512,Radio-Listen
513,Video-Play
514,HomeAppliance-Control
515,Audio-Play
516,Weather-Query
517,Radio-Listen
518,Video-Play
519,Music-Play
520,Audio-Play
521,Music-Play
522,Radio-Listen
523,FilmTele-Play
524,HomeAppliance-Control
525,Alarm-Update
526,Audio-Play
527,HomeAppliance-Control
528,Music-Play
529,Calendar-Query
530,Audio-Play
531,Weather-Query
532,Audio-Play
533,Travel-Query
534,Video-Play
535,Video-Play
536,HomeAppliance-Control
537,Video-Play
538,HomeAppliance-Control
539,Weather-Query
540,Radio-Listen
541,Other
542,Music-Play
543,Weather-Query
544,Audio-Play
545,Weather-Query
546,Travel-Query
547,Music-Play
548,Calendar-Query
549,Music-Play
550,Other
551,Travel-Query
552,Music-Play
553,Music-Play
554,Radio-Listen
555,Video-Play
556,Music-Play
557,FilmTele-Play
558,HomeAppliance-Control
559,Music-Play
560,Music-Play
561,HomeAppliance-Control
562,Alarm-Update
563,Music-Play
564,Music-Play
565,HomeAppliance-Control
566,Music-Play
567,Video-Play
568,Alarm-Update
569,Music-Play
570,Music-Play
571,HomeAppliance-Control
572,Music-Play
573,Video-Play
574,Alarm-Update
575,Audio-Play
576,Alarm-Update
577,Music-Play
578,Calendar-Query
579,HomeAppliance-Control
580,Music-Play
581,Video-Play
582,Music-Play
583,Radio-Listen
584,TVProgram-Play
585,TVProgram-Play
586,Music-Play
587,Music-Play
588,TVProgram-Play
589,HomeAppliance-Control
590,Music-Play
591,Audio-Play
592,Calendar-Query
593,Music-Play
594,Video-Play
595,Alarm-Update
596,FilmTele-Play
597,Video-Play
598,Music-Play
599,Music-Play
600,Music-Play
601,Music-Play
602,Audio-Play
603,Music-Play
604,Travel-Query
605,Weather-Query
606,Music-Play
607,FilmTele-Play
608,HomeAppliance-Control
609,FilmTele-Play
610,Audio-Play
611,FilmTele-Play
612,TVProgram-Play
613,HomeAppliance-Control
614,Calendar-Query
615,Calendar-Query
616,Video-Play
617,Other
618,Radio-Listen
619,Weather-Query
620,Travel-Query
621,Audio-Play
622,Music-Play
623,Music-Play
624,Radio-Listen
625,Music-Play
626,Video-Play
627,Travel-Query
628,Music-Play
629,Music-Play
630,Alarm-Update
631,Music-Play
632,Audio-Play
633,Music-Play
634,Video-Play
635,Other
636,Weather-Query
637,Music-Play
638,Audio-Play
639,Video-Play
640,Weather-Query
641,Audio-Play
642,Radio-Listen
643,Travel-Query
644,Music-Play
645,HomeAppliance-Control
646,Alarm-Update
647,Music-Play
648,Music-Play
649,FilmTele-Play
650,Alarm-Update
651,Video-Play
652,Radio-Listen
653,Audio-Play
654,FilmTele-Play
655,HomeAppliance-Control
656,Music-Play
657,Radio-Listen
658,Other
659,HomeAppliance-Control
660,TVProgram-Play
661,Radio-Listen
662,Alarm-Update
663,FilmTele-Play
664,HomeAppliance-Control
665,Music-Play
666,FilmTele-Play
667,Radio-Listen
668,Music-Play
669,HomeAppliance-Control
670,Weather-Query
671,TVProgram-Play
672,FilmTele-Play
673,Video-Play
674,Music-Play
675,Alarm-Update
676,Music-Play
677,FilmTele-Play
678,Music-Play
679,Alarm-Update
680,Audio-Play
681,Audio-Play
682,Weather-Query
683,Weather-Query
684,Music-Play
685,TVProgram-Play
686,Radio-Listen
687,HomeAppliance-Control
688,Music-Play
689,Video-Play
690,Calendar-Query
691,Music-Play
692,Other
693,Weather-Query
694,FilmTele-Play
695,Music-Play
696,Video-Play
697,Music-Play
698,Travel-Query
699,FilmTele-Play
700,Music-Play
701,Radio-Listen
702,Music-Play
703,Music-Play
704,Video-Play
705,Travel-Query
706,Radio-Listen
707,Radio-Listen
708,HomeAppliance-Control
709,Weather-Query
710,Audio-Play
711,FilmTele-Play
712,FilmTele-Play
713,Calendar-Query
714,Travel-Query
715,TVProgram-Play
716,Music-Play
717,Other
718,Weather-Query
719,Video-Play
720,Music-Play
721,HomeAppliance-Control
722,Radio-Listen
723,Alarm-Update
724,Alarm-Update
725,HomeAppliance-Control
726,Radio-Listen
727,Weather-Query
728,Travel-Query
729,Radio-Listen
730,Radio-Listen
731,Alarm-Update
732,HomeAppliance-Control
733,Other
734,FilmTele-Play
735,Music-Play
736,Music-Play
737,TVProgram-Play
738,Video-Play
739,Calendar-Query
740,HomeAppliance-Control
741,Video-Play
742,Radio-Listen
743,Video-Play
744,Music-Play
745,FilmTele-Play
746,Weather-Query
747,Music-Play
748,Travel-Query
749,Music-Play
750,Music-Play
751,Music-Play
752,TVProgram-Play
753,Calendar-Query
754,Alarm-Update
755,Audio-Play
756,Weather-Query
757,FilmTele-Play
758,Travel-Query
759,Music-Play
760,Video-Play
761,Music-Play
762,Video-Play
763,FilmTele-Play
764,Music-Play
765,Video-Play
766,Music-Play
767,Video-Play
768,Video-Play
769,Radio-Listen
770,Music-Play
771,Calendar-Query
772,Video-Play
773,TVProgram-Play
774,Calendar-Query
775,Weather-Query
776,Video-Play
777,Travel-Query
778,Weather-Query
779,Music-Play
780,Weather-Query
781,Music-Play
782,Audio-Play
783,Music-Play
784,Video-Play
785,FilmTele-Play
786,Radio-Listen
787,Music-Play
788,Audio-Play
789,Music-Play
790,Music-Play
791,Radio-Listen
792,FilmTele-Play
793,Calendar-Query
794,TVProgram-Play
795,Music-Play
796,Calendar-Query
797,Calendar-Query
798,HomeAppliance-Control
799,Radio-Listen
800,Music-Play
801,Music-Play
802,Music-Play
803,Audio-Play
804,Radio-Listen
805,Other
806,TVProgram-Play
807,Music-Play
808,Alarm-Update
809,HomeAppliance-Control
810,Music-Play
811,Music-Play
812,Music-Play
813,Music-Play
814,Music-Play
815,Music-Play
816,Calendar-Query
817,Other
818,Video-Play
819,FilmTele-Play
820,Music-Play
821,Weather-Query
822,Radio-Listen
823,Weather-Query
824,Alarm-Update
825,HomeAppliance-Control
826,Weather-Query
827,Music-Play
828,Alarm-Update
829,Music-Play
830,Video-Play
831,Music-Play
832,Music-Play
833,Weather-Query
834,Weather-Query
835,Music-Play
836,Radio-Listen
837,Music-Play
838,Audio-Play
839,Other
840,Alarm-Update
841,Calendar-Query
842,HomeAppliance-Control
843,Music-Play
844,Calendar-Query
845,FilmTele-Play
846,HomeAppliance-Control
847,Video-Play
848,Music-Play
849,FilmTele-Play
850,Video-Play
851,Music-Play
852,Music-Play
853,Travel-Query
854,Radio-Listen
855,FilmTele-Play
856,TVProgram-Play
857,Video-Play
858,Radio-Listen
859,Music-Play
860,Music-Play
861,Video-Play
862,Alarm-Update
863,FilmTele-Play
864,Alarm-Update
865,Video-Play
866,Music-Play
867,HomeAppliance-Control
868,Radio-Listen
869,TVProgram-Play
870,TVProgram-Play
871,Music-Play
872,Alarm-Update
873,Music-Play
874,Calendar-Query
875,Alarm-Update
876,Radio-Listen
877,FilmTele-Play
878,Music-Play
879,Audio-Play
880,Alarm-Update
881,Video-Play
882,Weather-Query
883,FilmTele-Play
884,TVProgram-Play
885,TVProgram-Play
886,Weather-Query
887,Radio-Listen
888,FilmTele-Play
889,Travel-Query
890,Audio-Play
891,Music-Play
892,Other
893,TVProgram-Play
894,HomeAppliance-Control
895,Music-Play
896,Music-Play
897,Weather-Query
898,Alarm-Update
899,Music-Play
900,Music-Play
901,Music-Play
902,HomeAppliance-Control
903,FilmTele-Play
904,Radio-Listen
905,FilmTele-Play
906,Music-Play
907,Radio-Listen
908,Radio-Listen
909,Other
910,Alarm-Update
911,Music-Play
912,Other
913,Calendar-Query
914,Calendar-Query
915,HomeAppliance-Control
916,Other
917,Music-Play
918,FilmTele-Play
919,Travel-Query
920,Calendar-Query
921,Calendar-Query
922,Weather-Query
923,Calendar-Query
924,Alarm-Update
925,Calendar-Query
926,Music-Play
927,Alarm-Update
928,Travel-Query
929,Calendar-Query
930,Music-Play
931,Travel-Query
932,Radio-Listen
933,Travel-Query
934,Calendar-Query
935,Audio-Play
936,Music-Play
937,FilmTele-Play
938,FilmTele-Play
939,Weather-Query
940,FilmTele-Play
941,Music-Play
942,Music-Play
943,Video-Play
944,Video-Play
945,Weather-Query
946,HomeAppliance-Control
947,Alarm-Update
948,Audio-Play
949,Weather-Query
950,Audio-Play
951,Audio-Play
952,Radio-Listen
953,FilmTele-Play
954,Alarm-Update
955,Weather-Query
956,FilmTele-Play
957,Audio-Play
958,Radio-Listen
959,FilmTele-Play
960,FilmTele-Play
961,Alarm-Update
962,Music-Play
963,Music-Play
964,FilmTele-Play
965,HomeAppliance-Control
966,FilmTele-Play
967,Calendar-Query
968,Music-Play
969,Calendar-Query
970,Calendar-Query
971,Music-Play
972,Audio-Play
973,Weather-Query
974,Music-Play
975,Radio-Listen
976,Audio-Play
977,HomeAppliance-Control
978,Music-Play
979,Music-Play
980,Audio-Play
981,Audio-Play
982,Music-Play
983,Audio-Play
984,Calendar-Query
985,Weather-Query
986,Alarm-Update
987,Travel-Query
988,Weather-Query
989,Weather-Query
990,Alarm-Update
991,FilmTele-Play
992,Calendar-Query
993,HomeAppliance-Control
994,Music-Play
995,Music-Play
996,Music-Play
997,Travel-Query
998,Music-Play
999,Weather-Query
1000,Calendar-Query
1001,TVProgram-Play
1002,Travel-Query
1003,Alarm-Update
1004,Travel-Query
1005,Music-Play
1006,TVProgram-Play
1007,Alarm-Update
1008,Alarm-Update
1009,Music-Play
1010,Alarm-Update
1011,Audio-Play
1012,Music-Play
1013,Music-Play
1014,Music-Play
1015,Alarm-Update
1016,Music-Play
1017,Music-Play
1018,Alarm-Update
1019,Audio-Play
1020,Video-Play
1021,Music-Play
1022,Radio-Listen
1023,Music-Play
1024,FilmTele-Play
1025,FilmTele-Play
1026,FilmTele-Play
1027,Alarm-Update
1028,Radio-Listen
1029,Music-Play
1030,Alarm-Update
1031,Audio-Play
1032,Alarm-Update
1033,Weather-Query
1034,Radio-Listen
1035,Travel-Query
1036,Audio-Play
1037,Music-Play
1038,Calendar-Query
1039,Music-Play
1040,Travel-Query
1041,Music-Play
1042,Music-Play
1043,Audio-Play
1044,Music-Play
1045,Radio-Listen
1046,Radio-Listen
1047,Weather-Query
1048,Radio-Listen
1049,Radio-Listen
1050,Audio-Play
1051,TVProgram-Play
1052,Music-Play
1053,FilmTele-Play
1054,Music-Play
1055,Audio-Play
1056,Weather-Query
1057,Radio-Listen
1058,FilmTele-Play
1059,HomeAppliance-Control
1060,Calendar-Query
1061,Music-Play
1062,Music-Play
1063,Alarm-Update
1064,FilmTele-Play
1065,TVProgram-Play
1066,Music-Play
1067,Travel-Query
1068,Video-Play
1069,Radio-Listen
1070,Travel-Query
1071,Radio-Listen
1072,Radio-Listen
1073,Calendar-Query
1074,Music-Play
1075,FilmTele-Play
1076,Calendar-Query
1077,Alarm-Update
1078,Music-Play
1079,FilmTele-Play
1080,Music-Play
1081,Other
1082,Music-Play
1083,Alarm-Update
1084,Weather-Query
1085,Audio-Play
1086,Weather-Query
1087,Travel-Query
1088,HomeAppliance-Control
1089,Video-Play
1090,Calendar-Query
1091,Alarm-Update
1092,Music-Play
1093,Music-Play
1094,Alarm-Update
1095,HomeAppliance-Control
1096,FilmTele-Play
1097,Travel-Query
1098,Calendar-Query
1099,HomeAppliance-Control
1100,Other
1101,HomeAppliance-Control
1102,Music-Play
1103,Calendar-Query
1104,HomeAppliance-Control
1105,Audio-Play
1106,Alarm-Update
1107,HomeAppliance-Control
1108,Video-Play
1109,FilmTele-Play
1110,Video-Play
1111,FilmTele-Play
1112,Music-Play
1113,Alarm-Update
1114,Calendar-Query
1115,Calendar-Query
1116,Alarm-Update
1117,FilmTele-Play
1118,Radio-Listen
1119,HomeAppliance-Control
1120,Travel-Query
1121,HomeAppliance-Control
1122,TVProgram-Play
1123,Alarm-Update
1124,FilmTele-Play
1125,Video-Play
1126,HomeAppliance-Control
1127,Travel-Query
1128,Alarm-Update
1129,Travel-Query
1130,HomeAppliance-Control
1131,Weather-Query
1132,Radio-Listen
1133,Radio-Listen
1134,Weather-Query
1135,Alarm-Update
1136,Music-Play
1137,Music-Play
1138,Calendar-Query
1139,Travel-Query
1140,Audio-Play
1141,Music-Play
1142,Calendar-Query
1143,Music-Play
1144,Video-Play
1145,Weather-Query
1146,FilmTele-Play
1147,FilmTele-Play
1148,FilmTele-Play
1149,Music-Play
1150,Video-Play
1151,Audio-Play
1152,HomeAppliance-Control
1153,Video-Play
1154,Audio-Play
1155,Other
1156,Other
1157,Radio-Listen
1158,Video-Play
1159,FilmTele-Play
1160,HomeAppliance-Control
1161,Radio-Listen
1162,Radio-Listen
1163,Weather-Query
1164,HomeAppliance-Control
1165,FilmTele-Play
1166,FilmTele-Play
1167,Travel-Query
1168,Music-Play
1169,Audio-Play
1170,Alarm-Update
1171,Music-Play
1172,Music-Play
1173,Radio-Listen
1174,HomeAppliance-Control
1175,Audio-Play
1176,Music-Play
1177,Travel-Query
1178,Music-Play
1179,Travel-Query
1180,Alarm-Update
1181,Video-Play
1182,Audio-Play
1183,Radio-Listen
1184,Music-Play
1185,HomeAppliance-Control
1186,HomeAppliance-Control
1187,Travel-Query
1188,Audio-Play
1189,Music-Play
1190,Video-Play
1191,Music-Play
1192,Radio-Listen
1193,Travel-Query
1194,HomeAppliance-Control
1195,HomeAppliance-Control
1196,Radio-Listen
1197,TVProgram-Play
1198,Alarm-Update
1199,Calendar-Query
1200,Calendar-Query
1201,Radio-Listen
1202,Travel-Query
1203,Music-Play
1204,Travel-Query
1205,Alarm-Update
1206,FilmTele-Play
1207,Music-Play
1208,Audio-Play
1209,HomeAppliance-Control
1210,Music-Play
1211,Radio-Listen
1212,FilmTele-Play
1213,HomeAppliance-Control
1214,Video-Play
1215,Radio-Listen
1216,Calendar-Query
1217,Music-Play
1218,Music-Play
1219,Video-Play
1220,Calendar-Query
1221,Music-Play
1222,TVProgram-Play
1223,TVProgram-Play
1224,Audio-Play
1225,Music-Play
1226,Radio-Listen
1227,Travel-Query
1228,Radio-Listen
1229,Travel-Query
1230,Travel-Query
1231,HomeAppliance-Control
1232,Music-Play
1233,Travel-Query
1234,Other
1235,FilmTele-Play
1236,FilmTele-Play
1237,HomeAppliance-Control
1238,Other
1239,Music-Play
1240,Alarm-Update
1241,Weather-Query
1242,Weather-Query
1243,Calendar-Query
1244,Weather-Query
1245,Weather-Query
1246,Music-Play
1247,Music-Play
1248,Weather-Query
1249,Radio-Listen
1250,Calendar-Query
1251,Other
1252,Music-Play
1253,Radio-Listen
1254,HomeAppliance-Control
1255,Music-Play
1256,Weather-Query
1257,Weather-Query
1258,HomeAppliance-Control
1259,Video-Play
1260,Video-Play
1261,Weather-Query
1262,Travel-Query
1263,Other
1264,Music-Play
1265,FilmTele-Play
1266,Music-Play
1267,Music-Play
1268,Audio-Play
1269,Video-Play
1270,Audio-Play
1271,Audio-Play
1272,Alarm-Update
1273,Travel-Query
1274,Calendar-Query
1275,Music-Play
1276,Music-Play
1277,FilmTele-Play
1278,HomeAppliance-Control
1279,Radio-Listen
1280,Calendar-Query
1281,Audio-Play
1282,Weather-Query
1283,Video-Play
1284,Video-Play
1285,Other
1286,Other
1287,Other
1288,Calendar-Query
1289,Alarm-Update
1290,HomeAppliance-Control
1291,Travel-Query
1292,HomeAppliance-Control
1293,Alarm-Update
1294,Radio-Listen
1295,Video-Play
1296,Music-Play
1297,Travel-Query
1298,FilmTele-Play
1299,Music-Play
1300,Music-Play
1301,Weather-Query
1302,Audio-Play
1303,Weather-Query
1304,Video-Play
1305,TVProgram-Play
1306,Weather-Query
1307,FilmTele-Play
1308,TVProgram-Play
1309,Music-Play
1310,Music-Play
1311,TVProgram-Play
1312,HomeAppliance-Control
1313,Video-Play
1314,Music-Play
1315,Music-Play
1316,Alarm-Update
1317,Other
1318,Alarm-Update
1319,Music-Play
1320,Alarm-Update
1321,Travel-Query
1322,HomeAppliance-Control
1323,Travel-Query
1324,TVProgram-Play
1325,Audio-Play
1326,HomeAppliance-Control
1327,FilmTele-Play
1328,HomeAppliance-Control
1329,Other
1330,Alarm-Update
1331,Travel-Query
1332,Music-Play
1333,Music-Play
1334,Video-Play
1335,Other
1336,Alarm-Update
1337,Music-Play
1338,Music-Play
1339,Calendar-Query
1340,Calendar-Query
1341,Travel-Query
1342,Music-Play
1343,Music-Play
1344,TVProgram-Play
1345,HomeAppliance-Control
1346,Video-Play
1347,Music-Play
1348,Music-Play
1349,Music-Play
1350,TVProgram-Play
1351,FilmTele-Play
1352,Music-Play
1353,FilmTele-Play
1354,Weather-Query
1355,Music-Play
1356,Travel-Query
1357,Calendar-Query
1358,FilmTele-Play
1359,Radio-Listen
1360,FilmTele-Play
1361,Weather-Query
1362,Music-Play
1363,Music-Play
1364,HomeAppliance-Control
1365,TVProgram-Play
1366,FilmTele-Play
1367,Alarm-Update
1368,Music-Play
1369,Music-Play
1370,Music-Play
1371,Travel-Query
1372,Weather-Query
1373,Radio-Listen
1374,Calendar-Query
1375,Music-Play
1376,Video-Play
1377,Travel-Query
1378,FilmTele-Play
1379,Music-Play
1380,Calendar-Query
1381,TVProgram-Play
1382,TVProgram-Play
1383,Calendar-Query
1384,Radio-Listen
1385,FilmTele-Play
1386,Calendar-Query
1387,Music-Play
1388,HomeAppliance-Control
1389,Radio-Listen
1390,Music-Play
1391,Video-Play
1392,Alarm-Update
1393,Music-Play
1394,Weather-Query
1395,Music-Play
1396,Alarm-Update
1397,FilmTele-Play
1398,Music-Play
1399,Calendar-Query
1400,Music-Play
1401,Music-Play
1402,Music-Play
1403,Music-Play
1404,Music-Play
1405,FilmTele-Play
1406,FilmTele-Play
1407,Travel-Query
1408,HomeAppliance-Control
1409,FilmTele-Play
1410,Weather-Query
1411,Alarm-Update
1412,Calendar-Query
1413,FilmTele-Play
1414,Calendar-Query
1415,HomeAppliance-Control
1416,Alarm-Update
1417,Audio-Play
1418,Calendar-Query
1419,Alarm-Update
1420,Music-Play
1421,Radio-Listen
1422,Other
1423,Music-Play
1424,Music-Play
1425,Audio-Play
1426,Music-Play
1427,Alarm-Update
1428,Music-Play
1429,Alarm-Update
1430,Travel-Query
1431,HomeAppliance-Control
1432,HomeAppliance-Control
1433,Music-Play
1434,Video-Play
1435,Audio-Play
1436,Calendar-Query
1437,Video-Play
1438,FilmTele-Play
1439,Music-Play
1440,Weather-Query
1441,FilmTele-Play
1442,Radio-Listen
1443,Radio-Listen
